task_id,field,db,api,dom,verdict
t_034990d3,title,48h Contract-Verify: Gateway-Fallback-Switch und Exit-Kategorien,48h Contract-Verify: Gateway-Fallback-Switch und Exit-Kategorien,48h Contract-Verify: Gateway-Fallback-Switch und Exit-Kategorien,MATCH
t_034990d3,status,scheduled,scheduled,scheduled,MATCH
t_034990d3,assignee,research,research,R,PARTIAL_INITIAL_ONLY
t_034990d3,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_034990d3,priority,20,20,NULL,OMITTED_NONZERO
t_034990d3,cost_effective_usd,0.0,0.0,NULL,IMPLICIT_ZERO_OR_NULL
t_034990d3,comment_count,2,2,NULL,OMITTED_NONZERO
t_034990d3,link_parents,2,2,NULL,OMITTED_NONZERO
t_034990d3,link_children,1,1,1,MATCH
t_034990d3,progress,"{""done"": 0, ""total"": 1}","{""done"": 0, ""total"": 1}",0/1,MATCH
t_034990d3,created_at,1783831445,1783831445,NULL,OMITTED_NON_NULL
t_034990d3,started_at,NULL,NULL,NULL,IMPLICIT_NULL
t_034990d3,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_034990d3,due_at,1784003400,1784003400,NULL,OMITTED_NON_NULL
t_034990d3,last_heartbeat_at,NULL,NULL,NULL,IMPLICIT_NULL
t_33e2669f,title,48h Beobachtung: Retention-/Browser-Reaper Dry-Run gegen Baseline auswerten,48h Beobachtung: Retention-/Browser-Reaper Dry-Run gegen Baseline auswerten,48h Beobachtung: Retention-/Browser-Reaper Dry-Run gegen Baseline auswerten,MATCH
t_33e2669f,status,scheduled,scheduled,scheduled,MATCH
t_33e2669f,assignee,premium,premium,P,PARTIAL_INITIAL_ONLY
t_33e2669f,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_33e2669f,priority,10,10,NULL,OMITTED_NONZERO
t_33e2669f,cost_effective_usd,1.73838,1.73838,"$1,74",MATCH
t_33e2669f,comment_count,10,10,NULL,OMITTED_NONZERO
t_33e2669f,link_parents,0,0,NULL,IMPLICIT_ZERO
t_33e2669f,link_children,1,1,1,MATCH
t_33e2669f,progress,"{""done"": 0, ""total"": 1}","{""done"": 0, ""total"": 1}",0/1,MATCH
t_33e2669f,created_at,1783829251,1783829251,NULL,OMITTED_NON_NULL
t_33e2669f,started_at,1783829252,1783829252,NULL,OMITTED_NON_NULL
t_33e2669f,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_33e2669f,due_at,1784001900,1784001900,NULL,OMITTED_NON_NULL
t_33e2669f,last_heartbeat_at,NULL,NULL,NULL,IMPLICIT_NULL
t_25e2d1e1,title,"Fix Agent-Terminal tabs, copy, and rendering without stopping live sessions","Fix Agent-Terminal tabs, copy, and rendering without stopping live sessions","Fix Agent-Terminal tabs, copy, and rendering without stopping live sessions",MATCH
t_25e2d1e1,status,blocked,blocked,blocked,MATCH
t_25e2d1e1,assignee,coder,coder,C,PARTIAL_INITIAL_ONLY
t_25e2d1e1,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_25e2d1e1,priority,500,500,NULL,OMITTED_NONZERO
t_25e2d1e1,cost_effective_usd,3.519032,3.519032,"$3,52",MATCH
t_25e2d1e1,comment_count,3,3,NULL,OMITTED_NONZERO
t_25e2d1e1,link_parents,0,0,NULL,IMPLICIT_ZERO
t_25e2d1e1,link_children,0,0,NULL,IMPLICIT_ZERO
t_25e2d1e1,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_25e2d1e1,created_at,1783889174,1783889174,NULL,OMITTED_NON_NULL
t_25e2d1e1,started_at,1783889223,1783889223,NULL,OMITTED_NON_NULL
t_25e2d1e1,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_25e2d1e1,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_25e2d1e1,last_heartbeat_at,1783891516,1783891516,NULL,OMITTED_NON_NULL
t_0e365063,title,Routing-Smoke R4 coder: Kimi provider corrected,Routing-Smoke R4 coder: Kimi provider corrected,Routing-Smoke R4 coder: Kimi provider corrected,MATCH
t_0e365063,status,blocked,blocked,blocked,MATCH
t_0e365063,assignee,coder,coder,C,PARTIAL_INITIAL_ONLY
t_0e365063,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_0e365063,priority,350,350,NULL,OMITTED_NONZERO
t_0e365063,cost_effective_usd,0.05514087000000001,0.05514087000000001,"$0,06",MATCH
t_0e365063,comment_count,2,2,NULL,OMITTED_NONZERO
t_0e365063,link_parents,0,0,NULL,IMPLICIT_ZERO
t_0e365063,link_children,0,0,NULL,IMPLICIT_ZERO
t_0e365063,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_0e365063,created_at,1783885080,1783885080,NULL,OMITTED_NON_NULL
t_0e365063,started_at,1783885086,1783885086,NULL,OMITTED_NON_NULL
t_0e365063,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_0e365063,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_0e365063,last_heartbeat_at,1783885581,1783885581,NULL,OMITTED_NON_NULL
t_a3c32c39,title,Routing-Smoke R3 coder,Routing-Smoke R3 coder,Routing-Smoke R3 coder,MATCH
t_a3c32c39,status,blocked,blocked,blocked,MATCH
t_a3c32c39,assignee,premium,premium,P,PARTIAL_INITIAL_ONLY
